顺丰速运,SF
信捷转运,ZY_XJ
优购快递,ZY_YGKD
友家速递(UCS),ZY_YJSD
云畔网,ZY_YPW
易送网,ZY_YSW
中运全速,ZYQS
中邮物流,ZYWL
汇强快递,ZHQKD
众通快递,ZTE
中通快运,ZTOKY
中邮快递,ZYKD
芝麻开门,ZMKM
中骅物流,ZHWL
中铁物流,ZTWL
AAE全球专递,AAE
ACS雅仕快递,ACS
ADP Express Tracking,ADP
安圭拉邮政,ANGUILAYOU
APAC,APAC
Aramex,ARAMEX
奥地利邮政,AT
AOL（澳通）,AOL
Australia Post Tracking,AUSTRALIA
澳邮国际,AUEX
比利时邮政,BEL
BHT快递,BHT
秘鲁邮政,BILUYOUZHE
巴西邮政,BR
巴伦支快递,BALUNZHI
BETWL_Crack,BETWL_Crack
败欧洲,BEUROPE
BCWELT   ,BCWELT
笨鸟国际,BN
宝凯物流,BKWL
巴伦支,BLZ
BNTWL_Crack,BNTWL_Crack
北青小红帽,BQXHM
不丹邮政,BUDANYOUZH
邦送物流,BSWL
CCES快递,CCES
出口易,CKY
新配盟,CNXLM
CDEK,CDEK
加拿大邮政,CA
程光物流,CG
递必易国际物流,DBYWL
大道物流,DDWL
德国云快递,DGYKD
到乐国际,DLGJ
DHL,DHL
DHL德国,DHL_DE
DHL(英文版),DHL_EN
DHL全球,DHL_GLB
DHL Global Mail,DHLGM
丹麦邮政,DK
德创物流,DCWL
DHL(中国件),DHL_C
DHL(美国),DHL_USA
东红物流,DHWL
店通快递,DTKD
大洋物流快递,DYWL
DPD,DPD
递四方速递,D4PX
DPEX,DPEX
EMS国际,EMSGJ
易客满,EKM
EShipper,ESHIPPER
EPS (联众国际快运),EPS
丰程物流,FCWL
法翔速运,FX
FQ,FQ
芬兰邮政,FLYZ
方舟国际速递,FZGJ
FEDEX联邦(国际件）,FEDEX_GJ
FEDEX联邦(国内件）,FEDEX
国际e邮宝,GJEYB
国际邮政包裹,GJYZ
GE2D,GE2D
GLS,GLS
冠泰,GT
欧洲专线(邮政),IOZYZ
澳大利亚邮政,IADLYYZ
阿尔巴尼亚邮政,IAEBNYYZ
阿尔及利亚邮政,IAEJLYYZ
阿富汗邮政,IAFHYZ
安哥拉邮政,IAGLYZ
埃及邮政,IAJYZ
阿鲁巴邮政,IALBYZ
阿联酋邮政,IALYYZ
阿塞拜疆邮政,IASBJYZ
博茨瓦纳邮政,IBCWNYZ
波多黎各邮政,IBDLGYZ
冰岛邮政,IBDYZ
白俄罗斯邮政,IBELSYZ
波黑邮政,IBHYZ
保加利亚邮政,IBJLYYZ
巴基斯坦邮政,IBJSTYZ
黎巴嫩邮政,IBLNYZ
波兰邮政,IBOLYZ
宝通达,IBTD
贝邮宝,IBYB
德国邮政,IDGYZ
危地马拉邮政,IWDMLYZ
乌干达邮政,IWGDYZ
乌克兰EMS,IWKLEMS
乌克兰邮政,IWKLYZ
乌拉圭邮政,IWLGYZ
林克快递,ILKKD
文莱邮政,IWLYZ
新喀里多尼亚邮政,IXGLDNYYZ
爱尔兰邮政,IE
夏浦物流,IXPWL
印度邮政,IYDYZ
夏浦世纪,IXPSJ
厄瓜多尔邮政,IEGDEYZ
俄罗斯邮政,IELSYZ
飞特物流,IFTWL
瓜德罗普岛邮政,IGDLPDYZ
哥斯达黎加邮政,IGSDLJYZ
韩国邮政,IHGYZ
互联易,IHLY
哈萨克斯坦邮政,IHSKSTYZ
黑山邮政,IHSYZ
津巴布韦邮政,IJBBWYZ
吉尔吉斯斯坦邮政,IJEJSSTYZ
捷克邮政,IJKYZ
加纳邮政,IJNYZ
柬埔寨邮政,IJPZYZ
安的列斯群岛邮政,IADLSQDYZ
阿根廷邮政,IAGTYZ
奥兰群岛邮政,IALQDYZ
阿曼邮政,IAMYZ
埃塞俄比亚邮政,IASEBYYZ
爱沙尼亚邮政,IASNYYZ
阿森松岛邮政,IASSDYZ
便利速递,IBLSD
巴林邮政,IBLYZ
百慕达邮政,IBMDYZ
达方物流,IDFWL
厄立特里亚邮政,IELTLYYZ
瓜德罗普岛EMS,IGDLPDEMS
俄速递,IGJESD
哥伦比亚邮政,IGLBYYZ
格陵兰邮政,IGLLYZ
科特迪瓦邮政,IKTDWYZ
卡塔尔邮政,IKTEYZ
利比亚邮政,ILBYYZ
卢森堡邮政,ILSBYZ
拉脱维亚邮政,ILTWYYZ
立陶宛邮政,ILTWYZ
列支敦士登邮政,ILZDSDYZ
马尔代夫邮政,IMEDFYZ
孟加拉国EMS,IMJLGEMS
摩洛哥邮政,IMLGYZ
毛里求斯邮政,IMLQSYZ
马来西亚EMS,IMLXYEMS
马来西亚邮政,IMLXYYZ
马其顿邮政,IMQDYZ
马提尼克EMS,IMTNKEMS
马提尼克邮政,IMTNKYZ
墨西哥邮政,IMXGYZ
南非邮政,INFYZ
挪威邮政,INWYZ
葡萄牙邮政,IPTYYZ
全球快递,IQQKD
全通物流,IQTWL
苏丹邮政,ISDYZ
萨尔瓦多邮政,ISEWDYZ
斯洛伐克邮政,ISLFKYZ
斯洛文尼亚邮政,ISLWNYYZ
沙特阿拉伯邮政,ISTALBYZ
土耳其邮政,ITEQYZ
泰国邮政,ITGYZ
特立尼达和多巴哥EMS,ITLNDHDBGE
突尼斯邮政,ITNSYZ
坦桑尼亚邮政,ITSNYYZ
乌兹别克斯坦EMS,IWZBKSTEMS
小飞龙物流,IXFLWL
新加坡邮政,IXJPYZ
叙利亚邮政,IXLYYZ
匈牙利邮政,IXYLYZ
印度尼西亚邮政,IYDNXYYZ
伊朗邮政,IYLYZ
越南邮政,IYNYZ
以色列邮政,IYSLYZ
易通关,IYTG
燕文物流,IYWWL
直布罗陀邮政,IZBLTYZ
克罗地亚邮政,IKNDYYZ
肯尼亚邮政,IKNYYZ
科特迪瓦EMS,IKTDWEMS
罗马尼亚邮政,ILMNYYZ
摩尔多瓦邮政,IMEDWYZ
马耳他邮政,IMETYZ
尼日利亚邮政,INRLYYZ
塞尔维亚邮政,ISEWYYZ
塞浦路斯邮政,ISPLSYZ
乌兹别克斯坦邮政,IWZBKSTYZ
西班牙邮政,IXBYYZ
新加坡EMS,IXJPEMS
希腊邮政,IXLYZ
新西兰邮政,IXXLYZ
意大利邮政,IYDLYZ
英国邮政,IYGYZ
亚美尼亚邮政,IYMNYYZ
智利邮政,IZLYZ
也门邮政,IYMYZ
日本邮政,JP
今枫国际,JFGJ
极光转运,JGZY
吉祥邮转运,JXYKD
嘉里国际,JLDT
上海久易国际,JYSD
绝配国际速递,JPKD
联运通,LYT
联合快递,LHKDS
新顺丰,NSF
荷兰邮政,NL
ONTRAC,ONTRAC
OCS,OCS
啪啪供应链,PAPA
POSTEIBE,POSTEIBE
全球邮政,QQYZ
秦远海运,QYHY
瑞典邮政,RDSE
SKYPOST,SKYPOST
林道国际,SHLDHY
佳惠尔,SYJHE
瑞士邮政,SWCH
首达速运,SDSY
穗空物流,SK
首通快运,STONG
申通快递国际单,STO_INTL
TNT快递,TNT
泰国138,TAILAND138
优邦国际速运,UBONEX
UEX   ,UEX
USPS美国邮政,USPS
万国邮政,UPU
UPS,UPS
启辰国际,VENUCIA
中越国际物流,VCTRANS
星空国际,XKGJ
迅达国际,XD
香港邮政,XGYZ
喜来快递,XLKD
鑫世锐达,XSRD
新元国际,XYGJ
西邮寄,XYJ
ADLER雄鹰国际速递,XYGJSD
日本大和运输(Yamato),YAMA
YODEL,YODEL
一号线,YHXGJSD
约旦邮政,YUEDANYOUZ
玥玛速运,YMSY
鹰运,YYSD
易境达,YJD
洋包裹,YBG
友家速递,YJ
爱购转运,ZY_AG
爱欧洲,ZY_AOZ
澳世速递,ZY_AUSE
AXO,ZY_AXO
贝海速递,ZY_BH
蜜蜂速递,ZY_BEE
百利快递,ZY_BL
斑马物流,ZY_BM
百通物流,ZY_BT
策马转运,ZY_CM
EFS POST,ZY_EFS
宜送转运,ZY_ESONG
飞碟快递,ZY_FD
飞鸽快递,ZY_FG
风行快递,ZY_FX
风行速递,ZY_FXSD
飞洋快递,ZY_FY
皓晨快递,ZY_HC
海悦速递,ZY_HYSD
君安快递,ZY_JA
时代转运,ZY_JD
骏达快递,ZY_JDKD
骏达转运,ZY_JDZY
久禾快递,ZY_JH
金海淘,ZY_JHT
联邦转运FedRoad,ZY_LBZY
龙象快递,ZY_LX
美国转运,ZY_MGZY
美速通,ZY_MST
美西转运,ZY_MXZY
QQ-EX,ZY_QQEX
瑞天快递,ZY_RT
瑞天速递,ZY_RTSD
速达快递,ZY_SDKD
四方转运,ZY_SFZY
上腾快递,ZY_ST
天际快递,ZY_TJ
天马转运,ZY_TM
滕牛快递,ZY_TN
太平洋快递,ZY_TPY
唐三藏转运,ZY_TSZ
TWC转运世界,ZY_TWC
润东国际快线,ZY_RDGJ
同心快递,ZY_TX
天翼快递,ZY_TY
德国海淘之家,ZY_DGHT
德运网,ZY_DYW
文达国际DCS,ZY_WDCS
同舟快递,ZY_TZH
UCS合众快递,ZY_UCS
星辰快递,ZY_XC
先锋快递,ZY_XF
云骑快递,ZY_YQ
优晟速递,ZY_YSSD
运淘美国,ZY_YTUSA
至诚速递,ZY_ZCSD
增速海淘,ZYZOOM
中驰物流,ZH
中欧快运,ZO
准实快运,ZSKY
中外速运,ZWSY
郑州建华,ZZJH
